iter	Passed	Remaining
875	13658	1933
876	13672	1917
877	13686	1901
878	13701	1886
879	13716	1870
880	13732	1854
881	13749	1839
882	13765	1824
883	13780	1808
884	13795	1792
885	13808	1776
886	13823	1761
887	13836	1745
888	13849	1729
889	13863	1713
890	13877	1697
891	13891	1681
892	13906	1666
893	13922	1650
894	13939	1635
895	13955	1619
896	13972	1604
897	13989	1588
898	14004	1573
899	14020	1557
900	14035	1542
901	14051	1526
902	14067	1511
903	14082	1495
904	14101	1480
905	14120	1465
906	14139	1449
907	14156	1434
908	14173	1418
909	14189	1403
910	14204	1387
911	14218	1371
912	14233	1356
913	14248	1340
914	14262	1324
915	14277	1309
916	14293	1293
917	14310	1278
918	14326	1262
919	14343	1247
920	14359	1231
921	14376	1216
922	14393	1200
923	14407	1185
924	14422	1169
925	14437	1153
926	14452	1138
927	14466	1122
928	14481	1106
929	14496	1091
930	14512	1075
931	14528	1060
932	14545	1044
933	14562	1029
934	14580	1013
935	14596	998
936	14613	982
937	14628	966
938	14644	951
939	14659	935
940	14675	920
941	14690	904
942	14706	888
943	14723	873
944	14740	857
945	14758	842
946	14775	826
947	14793	811
948	14810	795
949	14825	780
950	14840	764
951	14855	749
952	14870	733
953	14885	717
954	14900	702
955	14917	686
956	14934	671
957	14951	655
958	14968	639
959	14984	624
960	15001	608
961	15017	593
962	15033	577
963	15048	561
964	15063	546
965	15078	530
966	15093	515
967	15108	499
968	15124	483
969	15141	468
970	15159	452
971	15176	437
972	15193	421
973	15209	406
974	15227	390
975	15242	374
976	15257	359
977	15273	343
978	15288	327
979	15303	312
980	15318	296
981	15334	281
982	15353	265
983	15371	249
984	15388	234
985	15405	218
986	15422	203
987	15438	187
988	15452	171
989	15467	156
990	15483	140
991	15497	124
992	15512	109
993	15528	93
994	15545	78
995	15561	62
996	15579	46
997	15596	31
998	15614	15
999	15631	0
